Github Project,Star
freeCodeCamp/freeCodeCamp,292857
facebook/react,106796
d3/d3,77407
airbnb/javascript,73667
FortAwesome/Font-Awesome,56969
facebook/create-react-app,52469
jquery/jquery,49481
atom/atom,45703
axios/axios,45137
mrdoob/three.js,43396
socketio/socket.io,42817
reduxjs/redux,42720
Semantic-Org/Semantic-UI,42140
hakimel/reveal.js,41485
h5bp/html5-boilerplate,40986
meteor/meteor,40055
expressjs/express,39288
mui-org/material-ui,38736
chartjs/Chart.js,38317
moment/moment,37950
justjavac/free-programming-books-zh_CN,35906
GoogleChrome/puppeteer,35111
impress/impress.js,33745
Dogfalo/materialize,33434
lodash/lodash,33400
typicode/json-server,33315
yarnpkg/yarn,32426
ReactTraining/react-router,31516
gulpjs/gulp,29907
adobe/brackets,29105
blueimp/jQuery-File-Upload,28988
thedaviddias/Front-End-Checklist,28348
trekhleb/javascript-algorithms,27346
jashkenas/backbone,27220
TryGhost/Ghost,26118
parcel-bundler/parcel,24919
Kickball/awesome-selfhosted,24656
zeit/hyper,24641
facebook/immutable-js,24410
caolan/async,24330
alvarotrigo/fullPage.js,24139
nylas/nylas-mail,24077
tastejs/todomvc,24071
lord/slate,23918
jashkenas/underscore,23381
zenorocha/clipboard.js,22975
hexojs/hexo,22858
mozilla/pdf.js,22779
Modernizr/Modernizr,22769
select2/select2,22574
koajs/koa,22220
Leaflet/Leaflet,22151
photonstorm/phaser,22105
kenwheeler/slick,22073
juliangarnier/anime,22051
videojs/video.js,21944
yangshun/tech-interview-handbook,21871
Chalarangelo/30-seconds-of-code,21085
request/request,20125
pixijs/pixi.js,19476
developit/preact,19456
github/fetch,19427
balderdashy/sails,19327
Reactive-Extensions/RxJS,19233
emberjs/ember.js,19214
react-boilerplate/react-boilerplate,19027
knsv/mermaid,18950
postcss/postcss,18944
ryanmcdermott/clean-code-javascript,18843
GitbookIO/gitbook,18758
hammerjs/hammer.js,18664
standard/standard,18592
kriasoft/react-starter-kit,17983
bevacqua/dragula,17909
ajaxorg/ace,17840
styled-components/styled-components,17768
elsewhencode/project-guidelines,17701
gothinkster/realworld,17454
verekia/js-stack-from-scratch,17352
webtorrent/webtorrent,17222
petkaantonov/bluebird,17095
nolimits4web/swiper,16973
pugjs/pug,16935
dimsemenov/PhotoSwipe,16859
markedjs/marked,16856
cheeriojs/cheerio,16666
rstacruz/nprogress,16622
Automattic/mongoose,16328
angular/material,16277
justjavac/awesome-wechat-weapp,16220
jiahaog/nativefier,16104
VincentGarreau/particles.js,16033
mobxjs/mobx,15960
vuejs/vuex,15926
mochajs/mocha,15871
segmentio/nightmare,15860
jlmakes/scrollreveal,15837
less/less.js,15633
postcss/autoprefixer,15618
facebook/flux,15401
parse-community/parse-server,15312
bower/bower,15304
twitter/typeahead.js,15296
remy/nodemon,15283
tabler/tabler,15159
codemirror/CodeMirror,15122
yangshun/front-end-interview-handbook,15043
Marak/faker.js,14892
julianshapiro/velocity,14862
hyperapp/hyperapp,14699
angular-ui/bootstrap,14677
airbnb/enzyme,14524
avajs/ava,14290
hubotio/hubot,14268
redux-saga/redux-saga,14261
MostlyAdequate/mostly-adequate-guide,14236
GoogleChrome/lighthouse,14104
sentsin/layui,14075
feathericons/feather,13984
Popmotion/popmotion,13976
enyo/dropzone,13894
RubaXa/Sortable,13888
naptha/tesseract.js,13882
chenglou/react-motion,13794
jaredhanson/passport,13778
paularmstrong/normalizr,13737
jasmine/jasmine,13699
nefe/You-Dont-Need-jQuery,13648
nuxt/nuxt.js,13628
legomushroom/mojs,13618
wycats/handlebars.js,13544
react-bootstrap/react-bootstrap,13420
facebook/draft-js,13407
ruanyf/es6tutorial,13370
git-tips/tips,13354
reduxjs/react-redux,13269
alsotang/node-lessons,13167
ramda/ramda,13149
riot/riot,13117
gorhill/uBlock,13109
etsy/statsd,13106
